1000 experiments. StorageCost in bits, Time in seconds.
output_count maxStorageCost avgStorageCost maxTime avgTime
4 44032 38963 0.005209 0.00386465
5 76800 39048 0.006006 0.00522201
6 44032 38993 0.011983 0.0069242
7 55296 39128 0.012286 0.00882618
8 44032 40729 0.015592 0.00908617
9 71168 43603 0.015136 0.00614523
10 71168 44065 0.016717 0.00576306
11 88064 44076 0.007484 0.00600278
12 71168 44059 0.009743 0.00626733
13 71168 44070 0.010664 0.00650759
14 71168 44070 0.009996 0.00667625
15 71168 44070 0.011516 0.00689411
16 71168 44070 0.010937 0.00707204
17 71168 44081 0.011445 0.00722594
18 71168 44070 0.010352 0.00734663
19 71168 44070 0.010546 0.00747854
20 71168 44059 0.009005 0.00763231
